state,district,total_crimes,total_assault,total_property,assault_pct
Johor,Batu Pahat,4302,853,3449,19.8
Johor,Iskandar Puteri,4850,881,3969,18.2
Johor,Johor Bahru,25617,6071,19546,23.7
Johor,Kluang,3973,854,3119,21.5
Johor,Kota Tinggi,3283,525,2758,16.0
Johor,Kulaijaya,4227,1019,3208,24.1
Johor,Ledang,1414,243,1171,17.2
Johor,Mersing,948,231,717,24.4
Johor,Muar,2290,488,1802,21.3
Johor,Nusajaya,986,194,792,19.7
Johor,Pontian,1796,340,1456,18.9
Johor,Segamat,2270,418,1852,18.4
Johor,Seri Alam,10007,1594,8413,15.9
Kedah,Baling,2410,377,2033,15.6
Kedah,Bandar Baharu,429,95,334,22.1
Kedah,Kota Setar,10476,1570,8906,15.0
Kedah,Kuala Muda,12952,2203,10749,17.0
Kedah,Kubang Pasu,4185,676,3509,16.2
Kedah,Kulim,6026,1184,4842,19.6
Kedah,Langkawi,2735,416,2319,15.2
Kedah,Padang Terap,825,198,627,24.0
Kedah,Pendang,1724,286,1438,16.6
Kedah,Sik,487,72,415,14.8
Kedah,Yan,936,105,831,11.2
Kelantan,Bachok,1954,407,1547,20.8
Kelantan,Gua Musang,1181,249,932,21.1
Kelantan,Jeli,355,58,297,16.3
Kelantan,Kota Bharu,10379,1133,9246,10.9
Kelantan,Kuala Krai,1172,236,936,20.1
Kelantan,Machang,1529,188,1341,12.3
Kelantan,Pasir Mas,2498,469,2029,18.8
Kelantan,Pasir Puteh,2434,452,1982,18.6
Kelantan,Tanah Merah,1670,323,1347,19.3
Kelantan,Tumpat,2176,377,1799,17.3
Kuala Lumpur,Brickfields,12695,2950,9745,23.2
Kuala Lumpur,Cheras,11679,2392,9287,20.5
Kuala Lumpur,Dang Wangi,19980,6604,13376,33.1
Kuala Lumpur,Sentul,16456,3487,12969,21.2
Kuala Lumpur,W.P. Putrajaya,1926,677,1249,35.2
Kuala Lumpur,Wangsa Maju,14965,3111,11854,20.8
Melaka,Alor Gajah,2545,563,1982,22.1
Melaka,Jasin,1670,361,1309,21.6
Melaka,Melaka Tengah,13765,3404,10361,24.7
Negeri Sembilan,Jelebu,511,118,393,23.1
Negeri Sembilan,Jempol,1742,441,1301,25.3
Negeri Sembilan,Kuala Pilah,1394,240,1154,17.2
Negeri Sembilan,Nilai,6165,1527,4638,24.8
Negeri Sembilan,Port Dickson,2441,564,1877,23.1
Negeri Sembilan,Rembau,848,157,691,18.5
Negeri Sembilan,Seremban,8995,2056,6939,22.9
Negeri Sembilan,Tampin,1296,230,1066,17.7
Pahang,Bentong,2713,417,2296,15.4
Pahang,Bera,1055,238,817,22.6
Pahang,Cameron Highlands,434,123,311,28.3
Pahang,Jerantut,1264,240,1024,19.0
Pahang,Kuala Lipis,799,123,676,15.4
Pahang,Kuantan,9074,1598,7476,17.6
Pahang,Maran,1577,228,1349,14.5
Pahang,Pekan,1226,197,1029,16.1
Pahang,Raub,809,174,635,21.5
