"state","district","lat","lon","total_assault","total_property","total_crimes"
"Johor","Batu Pahat",1.854846,102.974484285714,853,3449,4302
"Johor","Iskandar Puteri",1.49849125,103.743069875,881,3969,4850
"Johor","Johor Bahru",1.49849125,103.743069875,6071,19546,25617
"Johor","Kluang",2.03804185714286,103.3343825,854,3119,3973
"Johor","Kota Tinggi",1.7468205,103.89628175,525,2758,3283
"Johor","Kulaijaya",1.65693125,103.59177575,1019,3208,4227
"Johor","Ledang",2.27275275,102.542238375,243,1171,1414
"Johor","Mersing",2.500813625,103.9352115,231,717,948
"Johor","Muar",2.10823522222222,102.681530055556,488,1802,2290
"Johor","Nusajaya",1.49849125,103.743069875,194,792,986
"Johor","Pontian",1.49383575,103.4481995,340,1456,1796
"Johor","Segamat",2.52544375,102.827108875,418,1852,2270
"Johor","Seri Alam",1.49849125,103.743069875,1594,8413,10007
"Kedah","Baling",5.71633333333333,100.889816666667,377,2033,2410
"Kedah","Bandar Baharu",5.22495,100.6063,95,334,429
"Kedah","Kota Setar",6.1187125,100.3734,1570,8906,10476
"Kedah","Kuala Muda",5.67696470588235,100.494989117647,2203,10749,12952
"Kedah","Kubang Pasu",6.40626928809524,100.418144119048,676,3509,4185
"Kedah","Kulim",5.38934085714286,100.586468571429,1184,4842,6026
"Kedah","Langkawi",6.34263333333333,99.7765,416,2319,2735
"Kedah","Padang Terap",6.2375,100.639751666667,198,627,825
"Kedah","Pendang",5.98430166666667,100.55429825,286,1438,1724
"Kedah","Sik",5.91279591666667,100.74728775,72,415,487
"Kedah","Yan",5.83581666666667,100.39875,105,831,936
"Kelantan","Bachok",6.0107925,102.405266125,407,1547,1954
"Kelantan","Gua Musang",4.87135775,101.9577865,249,932,1181
"Kelantan","Jeli",5.6760305,101.85094525,58,297,355
"Kelantan","Kota Bharu",6.113202375,102.278452625,1133,9246,10379
"Kelantan","Kuala Krai",5.5316885,102.22937325,236,936,1172
"Kelantan","Machang",5.7704995,102.225030125,188,1341,1529
"Kelantan","Pasir Mas",6.0183875,102.130944625,469,2029,2498
"Kelantan","Pasir Puteh",5.83857725,102.39969475,452,1982,2434
"Kelantan","Tanah Merah",5.818314375,102.10376975,323,1347,1670
"Kelantan","Tumpat",6.193730375,102.157780625,377,1799,2176
"Kuala Lumpur","Brickfields",3.1589505,101.69796225,2950,9745,12695
"Kuala Lumpur","Cheras",3.1589505,101.69796225,2392,9287,11679
"Kuala Lumpur","Dang Wangi",3.1589505,101.69796225,6604,13376,19980
"Kuala Lumpur","Sentul",3.1589505,101.69796225,3487,12969,16456
"Kuala Lumpur","W.P. Putrajaya",2.941959875,101.688920125,677,1249,1926
"Kuala Lumpur","Wangsa Maju",3.1589505,101.69796225,3111,11854,14965
"Melaka","Alor Gajah",2.39337808333333,102.22245975,563,1982,2545
"Melaka","Jasin",2.30497766666667,102.420466916667,361,1309,1670
"Melaka","Melaka Tengah",2.22780333333333,102.25652725,3404,10361,13765
"Negeri Sembilan","Jelebu",2.93823308333333,102.084344583333,118,393,511
"Negeri Sembilan","Jempol",2.80933658333333,102.400931416667,441,1301,1742
"Negeri Sembilan","Kuala Pilah",2.74197633333333,102.2491065,240,1154,1394
"Negeri Sembilan","Nilai",2.75860419230769,101.865057730769,1527,4638,6165
"Negeri Sembilan","Port Dickson",2.57140308333333,101.833298333333,564,1877,2441
"Negeri Sembilan","Rembau",2.58374308333333,102.099824333333,157,691,848
"Negeri Sembilan","Seremban",2.75860419230769,101.865057730769,2056,6939,8995
"Negeri Sembilan","Tampin",2.471954,102.241478833333,230,1066,1296
"Pahang","Bentong",3.46366516666667,101.96904925,417,2296,2713
"Pahang","Bera",3.23998391666667,102.465545583333,238,817,1055
"Pahang","Cameron Highlands",4.47434566666667,101.408199166667,123,311,434
"Pahang","Jerantut",4.04053690909091,102.391246272727,240,1024,1264
"Pahang","Kuala Lipis",4.20333475,102.027583,123,676,799
"Pahang","Kuantan",3.80962075,103.279074583333,1598,7476,9074
"Pahang","Maran",3.57599816666667,102.7849175,228,1349,1577
"Pahang","Pekan",3.44656033333333,103.3886265,197,1029,1226
"Pahang","Raub",3.82453475,101.846687583333,174,635,809
"Pahang","Rompin",2.85348517857143,103.174349821429,291,1073,1364
"Pahang","Temerloh",3.44907785714286,102.425451285714,467,1603,2070
"Penang","Barat Daya",5.35237616666667,100.222714916667,616,2901,3517
"Penang","Seberang Perai Selatan",5.2211238,100.4787968,855,2284,3139
"Penang","Seberang Perai Tengah",5.36629579166667,100.4607015,2373,9806,12179
"Penang","Seberang Perai Utara",5.51832445,100.44192595,1167,5849,7016
"Penang","Timur Laut",5.4177281,100.30813415,2591,8211,10802
"Perak","Batu Gajah",4.61200216666667,101.088551,154,601,755
"Perak","Gerik",5.28364195833333,101.081624125,119,447,566
"Perak","Hilir Perak",4.02828241666667,101.00234025,856,3022,3878
"Perak","Ipoh",4.61200216666667,101.088551,3004,10084,13088
"Perak","Kampar",4.28750308333333,101.149441916667,217,940,1157
"Perak","Kerian",5.11043391666667,100.481069333333,351,1189,1540
"Perak","Kuala Kangsar",4.79183205555556,100.986289722222,208,716,924
"Perak","Manjung",4.25075184615385,100.671748653846,695,2910,3605
"Perak","Pengkalan Hulu",5.28364195833333,101.081624125,15,100,115
"Perak","Perak Tengah",4.3648845,100.967806916667,160,843,1003
"Perak","Selama",4.81468916666667,100.713110333333,73,204,277
"Perak","Sungai Siput",4.79183205555556,100.986289722222,218,584,802
"Perak","Taiping",4.81468916666667,100.713110333333,1138,3328,4466
"Perak","Tanjong Malim",3.73496016666667,101.500334388889,181,737,918
"Perak","Tapah",4.16416558333333,101.270530333333,312,946,1258
"Perlis","Arau",6.42578333333333,100.28315,231,720,951
"Perlis","Kangar",6.45833333333333,100.201316666667,430,2001,2431
"Perlis","Padang Besar",6.66078333333333,100.268866666667,145,492,637
"Sabah","Beaufort",5.28565,115.748825,108,779,887
"Sabah","Beluran",5.77715,117.3224,143,388,531
"Sabah","Keningau",5.19825,116.2369,271,1014,1285
"Sabah","Kota Belud",6.383025,116.4849,149,816,965
"Sabah","Kota Kinabalu",6.044625,116.13915,873,8921,9794
"Sabah","Kota Kinabatangan",5.43965,117.6397,116,447,563
"Sabah","Kota Marudu",6.642925,116.974,109,580,689
"Sabah","Kudat",6.84953333333333,116.77365,82,288,370
"Sabah","Kunak",4.7137,118.110833333333,58,416,474
"Sabah","Lahad Datu",5.0859,118.366283333333,306,1610,1916
"Sabah","Papar",5.71675,115.982483333333,234,1375,1609
"Sabah","Penampang",5.91076,116.10198,403,2864,3267
"Sabah","Ranau",5.9301,116.731916666667,102,500,602
"Sabah","Sandakan",5.77715,117.3224,449,4029,4478
"Sabah","Semporna",5.0859,118.366283333333,269,1985,2254
"Sabah","Sipitang",5.28565,115.748825,52,517,569
"Sabah","Tawau",5.0859,118.366283333333,484,5631,6115
"Sabah","Tenom",5.19825,116.2369,77,264,341
"Sabah","Tuaran",6.044625,116.13915,118,614,732
"Sabah","W.P. Labuan",5.28565,115.748825,171,1332,1503
"Sarawak","Bau",1.39676666666667,110.104966666667,159,321,480
"Sarawak","Belaga",3.04043333333333,114.012633333333,57,270,327
"Sarawak","Betong",1.40285,111.562166666667,83,506,589
"Sarawak","Bintulu",3.23803333333333,113.392183333333,373,3266,3639
