state,rate,deviation,above_avg
Perlis,693.3,324.2,Above average
Kedah,599.5,230.4,Above average
Selangor,587.9,218.8,Above average
Terengganu,405.9,36.8,Above average
Sarawak,395.1,26.0,Above average
Negeri Sembilan,351.7,-17.4,Below average
Melaka,320.0,-49.1,Below average
Pahang,308.5,-60.6,Below average
Kelantan,295.7,-73.4,Below average
Sabah,281.3,-87.8,Below average
Kuala Lumpur,256.8,-112.3,Below average
Johor,256.0,-113.1,Below average
Perak,241.6,-127.5,Below average
Penang,174.3,-194.8,Below average
