"state","type","crimes"
"Johor","break_in",9205
"Johor","causing_injury",4010
"Johor","murder",332
"Johor","rape",1512
"Johor","robbery_gang_armed",16
"Johor","robbery_gang_unarmed",5198
"Johor","robbery_solo_armed",4
"Johor","robbery_solo_unarmed",2639
"Johor","theft_other",12818
"Johor","theft_vehicle_lorry",1525
"Johor","theft_vehicle_motorcar",6602
"Johor","theft_vehicle_motorcycle",22102
"Kedah","break_in",9357
"Kedah","causing_injury",2535
"Kedah","murder",125
"Kedah","rape",1158
"Kedah","robbery_gang_armed",9
"Kedah","robbery_gang_unarmed",2072
"Kedah","robbery_solo_armed",5
"Kedah","robbery_solo_unarmed",1278
"Kedah","theft_other",8629
"Kedah","theft_vehicle_lorry",466
"Kedah","theft_vehicle_motorcar",2300
"Kedah","theft_vehicle_motorcycle",15251
"Kelantan","break_in",4904
"Kelantan","causing_injury",1685
"Kelantan","murder",74
"Kelantan","rape",875
"Kelantan","robbery_gang_armed",17
"Kelantan","robbery_gang_unarmed",728
"Kelantan","robbery_solo_armed",1
"Kelantan","robbery_solo_unarmed",512
"Kelantan","theft_other",4728
"Kelantan","theft_vehicle_lorry",317
"Kelantan","theft_vehicle_motorcar",2567
"Kelantan","theft_vehicle_motorcycle",8940
"Kuala Lumpur","break_in",7947
"Kuala Lumpur","causing_injury",3661
"Kuala Lumpur","murder",202
"Kuala Lumpur","rape",805
"Kuala Lumpur","robbery_gang_armed",28
"Kuala Lumpur","robbery_gang_unarmed",8507
"Kuala Lumpur","robbery_solo_armed",12
"Kuala Lumpur","robbery_solo_unarmed",6006
"Kuala Lumpur","theft_other",20695
"Kuala Lumpur","theft_vehicle_lorry",1700
"Kuala Lumpur","theft_vehicle_motorcar",9206
"Kuala Lumpur","theft_vehicle_motorcycle",18932
"Melaka","break_in",3988
"Melaka","causing_injury",1283
"Melaka","murder",66
"Melaka","rape",431
"Melaka","robbery_gang_armed",5
"Melaka","robbery_gang_unarmed",1520
"Melaka","robbery_solo_armed",0
