"state","year","crimes"
"Johor",2016,12941
"Johor",2017,11307
"Johor",2018,10338
"Johor",2019,9870
"Johor",2020,7350
"Johor",2021,4365
"Johor",2022,4462
"Johor",2023,5330
"Kedah",2016,7440
"Kedah",2017,6759
"Kedah",2018,6221
"Kedah",2019,5615
"Kedah",2020,4131
"Kedah",2021,3801
"Kedah",2022,4651
"Kedah",2023,4567
"Kelantan",2016,4548
"Kelantan",2017,4520
"Kelantan",2018,3987
"Kelantan",2019,3545
"Kelantan",2020,2531
"Kelantan",2021,2017
"Kelantan",2022,2206
"Kelantan",2023,1994
"Kuala Lumpur",2016,16989
"Kuala Lumpur",2017,13482
"Kuala Lumpur",2018,12127
"Kuala Lumpur",2019,11172
"Kuala Lumpur",2020,8301
"Kuala Lumpur",2021,6176
"Kuala Lumpur",2022,4914
"Kuala Lumpur",2023,4540
"Melaka",2016,3664
"Melaka",2017,3097
"Melaka",2018,2800
"Melaka",2019,2561
"Melaka",2020,1794
"Melaka",2021,1310
"Melaka",2022,1297
"Melaka",2023,1457
"Negeri Sembilan",2016,4474
"Negeri Sembilan",2017,3973
"Negeri Sembilan",2018,3673
"Negeri Sembilan",2019,3327
"Negeri Sembilan",2020,2431
"Negeri Sembilan",2021,1835
"Negeri Sembilan",2022,1784
"Negeri Sembilan",2023,1895
"Pahang",2016,3777
"Pahang",2017,3607
"Pahang",2018,3584
"Pahang",2019,3271
"Pahang",2020,2331
"Pahang",2021,2056
"Pahang",2022,1884
"Pahang",2023,1875
"Penang",2016,6116
"Penang",2017,5552
"Penang",2018,5017
"Penang",2019,5218
"Penang",2020,3853
"Penang",2021,3830
"Penang",2022,3463
"Penang",2023,3604
"Perak",2016,5841
"Perak",2017,5326
"Perak",2018,5128
"Perak",2019,4912
"Perak",2020,3388
"Perak",2021,2925
"Perak",2022,3260
"Perak",2023,3572
"Perlis",2016,655
"Perlis",2017,604
"Perlis",2018,563
"Perlis",2019,527
"Perlis",2020,493
"Perlis",2021,436
"Perlis",2022,402
"Perlis",2023,339
"Sabah",2016,5367
"Sabah",2017,6236
"Sabah",2018,6151
"Sabah",2019,5745
"Sabah",2020,3799
"Sabah",2021,3428
"Sabah",2022,4101
"Sabah",2023,4117
"Sarawak",2016,6826
"Sarawak",2017,6381
"Sarawak",2018,5830
"Sarawak",2019,6023
"Sarawak",2020,5850
"Sarawak",2021,4294
"Sarawak",2022,3887
"Sarawak",2023,4045
"Selangor",2016,31223
"Selangor",2017,26069
"Selangor",2018,21420
"Selangor",2019,19800
"Selangor",2020,17592
"Selangor",2021,15276
"Selangor",2022,13025
"Selangor",2023,13739
"Terengganu",2016,2494
"Terengganu",2017,2257
"Terengganu",2018,1823
"Terengganu",2019,1870
"Terengganu",2020,2099
"Terengganu",2021,1594
"Terengganu",2022,1477
"Terengganu",2023,1370
