"state","year","category","crimes"
"Johor",2016,"assault",2820
"Johor",2016,"property",10121
"Johor",2017,"assault",2578
"Johor",2017,"property",8729
"Johor",2018,"assault",1880
"Johor",2018,"property",8458
"Johor",2019,"assault",1923
"Johor",2019,"property",7947
"Johor",2020,"assault",1384
"Johor",2020,"property",5966
"Johor",2021,"assault",925
"Johor",2021,"property",3440
"Johor",2022,"assault",973
"Johor",2022,"property",3489
"Johor",2023,"assault",1228
"Johor",2023,"property",4102
"Kedah",2016,"assault",1239
"Kedah",2016,"property",6201
"Kedah",2017,"assault",996
"Kedah",2017,"property",5763
"Kedah",2018,"assault",989
"Kedah",2018,"property",5232
"Kedah",2019,"assault",937
"Kedah",2019,"property",4678
"Kedah",2020,"assault",674
"Kedah",2020,"property",3457
"Kedah",2021,"assault",734
"Kedah",2021,"property",3067
"Kedah",2022,"assault",893
"Kedah",2022,"property",3758
"Kedah",2023,"assault",720
"Kedah",2023,"property",3847
"Kelantan",2016,"assault",543
"Kelantan",2016,"property",4005
"Kelantan",2017,"assault",600
"Kelantan",2017,"property",3920
"Kelantan",2018,"assault",511
"Kelantan",2018,"property",3476
"Kelantan",2019,"assault",470
"Kelantan",2019,"property",3075
"Kelantan",2020,"assault",504
"Kelantan",2020,"property",2027
"Kelantan",2021,"assault",426
"Kelantan",2021,"property",1591
"Kelantan",2022,"assault",448
"Kelantan",2022,"property",1758
"Kelantan",2023,"assault",390
"Kelantan",2023,"property",1604
"Kuala Lumpur",2016,"assault",3776
"Kuala Lumpur",2016,"property",13213
"Kuala Lumpur",2017,"assault",3999
"Kuala Lumpur",2017,"property",9483
"Kuala Lumpur",2018,"assault",3137
"Kuala Lumpur",2018,"property",8990
"Kuala Lumpur",2019,"assault",2914
"Kuala Lumpur",2019,"property",8258
"Kuala Lumpur",2020,"assault",1948
"Kuala Lumpur",2020,"property",6353
"Kuala Lumpur",2021,"assault",1458
"Kuala Lumpur",2021,"property",4718
"Kuala Lumpur",2022,"assault",1049
"Kuala Lumpur",2022,"property",3865
"Kuala Lumpur",2023,"assault",940
"Kuala Lumpur",2023,"property",3600
"Melaka",2016,"assault",1154
"Melaka",2016,"property",2510
"Melaka",2017,"assault",842
"Melaka",2017,"property",2255
"Melaka",2018,"assault",621
"Melaka",2018,"property",2179
"Melaka",2019,"assault",460
"Melaka",2019,"property",2101
"Melaka",2020,"assault",366
"Melaka",2020,"property",1428
"Melaka",2021,"assault",311
"Melaka",2021,"property",999
"Melaka",2022,"assault",264
"Melaka",2022,"property",1033
"Melaka",2023,"assault",310
"Melaka",2023,"property",1147
"Negeri Sembilan",2016,"assault",1084
"Negeri Sembilan",2016,"property",3390
"Negeri Sembilan",2017,"assault",884
"Negeri Sembilan",2017,"property",3089
"Negeri Sembilan",2018,"assault",831
"Negeri Sembilan",2018,"property",2842
"Negeri Sembilan",2019,"assault",778
"Negeri Sembilan",2019,"property",2549
"Negeri Sembilan",2020,"assault",525
"Negeri Sembilan",2020,"property",1906
"Negeri Sembilan",2021,"assault",434
"Negeri Sembilan",2021,"property",1401
"Negeri Sembilan",2022,"assault",380
"Negeri Sembilan",2022,"property",1404
"Negeri Sembilan",2023,"assault",417
"Negeri Sembilan",2023,"property",1478
"Pahang",2016,"assault",651
"Pahang",2016,"property",3126
"Pahang",2017,"assault",656
"Pahang",2017,"property",2951
"Pahang",2018,"assault",572
"Pahang",2018,"property",3012
"Pahang",2019,"assault",595
"Pahang",2019,"property",2676
"Pahang",2020,"assault",405
